,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.5424199504901965,0.7969833333333334,50.250248670578,51.328301668167114,0.01,100,False
1,1,2,0.3727380514641603,0.8619166666666667,32.76386547088623,84.52775692939758,0.01,100,False
2,1,3,0.3407138322542111,0.87445,29.06285786628723,113.80337977409363,0.01,100,False
3,1,4,0.33276703650752704,0.8783333333333333,30.823641538619995,144.81972885131836,0.01,100,False
4,1,5,0.32134979161123434,0.8809666666666667,32.76741647720337,177.83902955055237,0.01,100,False
5,2,1,0.993157692750295,0.61135,34.1691517829895,37.957316637039185,0.01,1000,False
6,2,2,0.5636022046208382,0.7784833333333333,25.81014633178711,64.02780079841614,0.01,1000,False
7,2,3,0.46750569840272266,0.8249166666666666,22.744290590286255,87.01360988616943,0.01,1000,False
8,2,4,0.39816253433624904,0.8540666666666666,23.035236358642578,110.30032348632812,0.01,1000,False
9,2,5,0.3549289330840111,0.8685166666666667,24.15414834022522,134.66979217529297,0.01,1000,False
10,3,1,0.8327382538715998,0.6831666666666667,32.48102784156799,32.95995092391968,0.001,100,False
11,3,2,0.5359306361277898,0.8017166666666666,23.160770654678345,56.3570454120636,0.001,100,False
12,3,3,0.454188165217638,0.83295,23.981579780578613,80.63672471046448,0.001,100,False
13,3,4,0.40791589682300883,0.8518333333333333,23.583210229873657,104.45684051513672,0.001,100,False
14,3,5,0.37740280377368135,0.8628666666666667,23.38297939300537,128.07792019844055,0.001,100,False
15,4,1,1.563306561112404,0.4406333333333333,29.294896125793457,32.378209829330444,0.001,1000,False
16,4,2,0.7788469344377518,0.7075166666666667,23.2170889377594,55.832191944122314,0.001,1000,False
17,4,3,0.6680888613065084,0.7430333333333333,31.879474639892578,87.95969200134277,0.001,1000,False
18,4,4,0.6167515844106675,0.7608166666666667,25.866127014160156,114.08027863502502,0.001,1000,False
19,4,5,0.5809460431337357,0.7764166666666666,24.12380027770996,138.45889043807983,0.001,1000,False
